method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_crsm_epoch,threshold_hc,n_experts,temperature,hc_centroid_norm,pca_unit_norm,pca_singular_value,sigma_margin,sigma_projection,symmetry_ratio,symmetry_scale,initial_delta_l2,expert_1_mean_mass,expert_2_mean_mass,expert_1_hard_fraction,expert_2_hard_fraction,responsibility_entropy,delta_weight_1_l2,delta_weight_2_l2,delta_weight_cosine,delta_bias_1,delta_bias_2,task_seconds,n_test,status
control_referenced_soft_multiboundary,internal_fold,8,0,0.790273556231003,0.5920712597556244,0.7422680412371133,0.7163120567375887,46.0,23.0,0.0,0.4742957055568695,2.0,1.0,22.849443435668945,1.0,148.68235778808594,1.1572407484054565,7.863962173461914,0.01,0.0014715746510773897,0.0020811206195503473,0.4998888075351715,0.5001112222671509,0.34272995591163635,0.6572700142860413,0.6930915117263794,0.0014715746510773897,0.0014715746510773897,-1.0,0.0,0.0,212.2038025856018,89,PASS
baseline,internal_fold,8,1,0.6732522796352584,0.6637038514190142,0.631578947368421,0.6048632218844985,20.0,59.0,nan,0.49978893995285034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,219.92761039733887,89,PASS
control_referenced_soft_multiboundary,internal_fold,8,1,0.6732522796352584,0.6637145802528555,0.631578947368421,0.6048632218844985,20.0,59.0,0.0,0.49978259205818176,2.0,1.0,23.73403549194336,1.0,133.23037719726562,1.9918906688690186,6.237083435058594,0.01,0.0031936250161379576,0.004516467917710543,0.5027816295623779,0.49721837043762207,0.6528189778327942,0.3471809923648834,0.692949116230011,0.0031936252489686012,0.0031936252489686012,-1.0,0.0,0.0,219.92760753631592,89,PASS
baseline,internal_fold,8,2,0.7412008281573498,0.6056536894060471,0.7083333333333334,0.6790890269151139,48.0,46.0,nan,0.44450274109840393,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,203.20494270324707,88,PASS
control_referenced_soft_multiboundary,internal_fold,8,2,0.7412008281573498,0.6056575275644139,0.7083333333333334,0.6790890269151139,48.0,46.0,0.0,0.4445019066333771,2.0,1.0,23.705848693847656,1.0,140.0000762939453,1.7175304889678955,6.789398193359375,0.01,0.002529724035412073,0.003577569965273142,0.5019869208335876,0.49801304936408997,0.5459940433502197,0.4540059268474579,0.6930134892463684,0.002529724035412073,0.002529724035412073,-1.0,0.0,0.0,203.2049367427826,88,PASS
baseline,internal_fold,8,3,0.6640786749482402,0.6887088883959422,0.5822784810126582,0.6309523809523809,43.0,60.0,nan,0.3911049962043762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,227.86873078346252,88,PASS
control_referenced_soft_multiboundary,internal_fold,8,3,0.6640786749482402,0.6887280191389382,0.5822784810126582,0.6309523809523809,43.0,60.0,0.0,0.39110422134399414,2.0,1.0,23.392812728881836,1.0,143.73773193359375,2.1624631881713867,7.241610050201416,0.01,0.0029861635994166136,0.0042230733670294285,0.5018404126167297,0.4981595575809479,0.49554896354675293,0.5044510364532471,0.6929692625999451,0.0029861638322472572,0.0029861638322472572,-0.9999999403953552,0.0,0.0,227.86872005462646,88,PASS
baseline,internal_fold,8,4,0.7681159420289855,0.5879185028843719,0.5833333333333333,0.6687370600414079,15.0,23.0,nan,0.3737186789512634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,219.19243335723877,88,PASS
control_referenced_soft_multiboundary,internal_fold,8,4,0.7681159420289855,0.5879207600275838,0.5833333333333333,0.6687370600414079,15.0,23.0,0.0,0.3737187087535858,2.0,1.0,26.985618591308594,1.0,135.6214599609375,1.082005262374878,7.151383876800537,0.01,0.0015130012761801481,0.002139706863090396,0.5002469420433044,0.49975305795669556,0.5994065403938293,0.40059345960617065,0.6931009292602539,0.00151300139259547,0.00151300139259547,-0.9999998807907104,0.0,0.0,219.19243049621582,88,PASS
baseline,internal_fold,8,5,0.7420861442656981,0.59255240374881,0.5333333333333333,0.6152049818370524,12.0,23.0,nan,0.40139004588127136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,188.61588859558105,88,PASS
control_referenced_soft_multiboundary,internal_fold,8,5,0.7420861442656981,0.5925457390764667,0.5333333333333333,0.6152049818370524,12.0,23.0,0.0,0.40138930082321167,2.0,1.0,28.562307357788086,1.0,159.31907653808594,1.2105140686035156,7.942307949066162,0.01,0.001524133956991136,0.0021554511040449142,0.5011425018310547,0.4988574981689453,0.4302670657634735,0.5697329044342041,0.6930912137031555,0.001524134073406458,0.001524134073406458,-0.9999999403953552,0.0,0.0,188.6158812046051,88,PASS
baseline,internal_fold,8,6,0.7042034250129736,0.6151242450353913,0.6326530612244897,0.5858847950181629,13.0,38.0,nan,0.47624924778938293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,187.76745676994324,88,PASS
control_referenced_soft_multiboundary,internal_fold,8,6,0.7026466009340944,0.6164252333960736,0.6326530612244897,0.5858847950181629,13.0,38.0,2.0,0.46703436970710754,2.0,1.0,25.148590087890625,1.0,140.23025512695312,1.589174747467041,6.156019687652588,0.01,0.002581497188657522,0.003650788450613618,0.5029802322387695,0.49701976776123047,0.6305637955665588,0.36943620443344116,0.6929926872253418,0.027852719649672508,0.026319975033402443,0.9654608964920044,-9.283036342822015e-05,-9.621983917895705e-05,187.76745128631592,88,PASS
baseline,internal_fold,8,7,0.756616502335236,0.5851705046099184,0.6506024096385542,0.6774779449922159,13.0,26.0,nan,0.41950270533561707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,189.94855403900146,88,PASS
control_referenced_soft_multiboundary,internal_fold,8,7,0.756616502335236,0.5851680542883343,0.6506024096385542,0.6774779449922159,13.0,26.0,0.0,0.41949546337127686,2.0,1.0,24.974721908569336,1.0,153.630615234375,1.2758809328079224,7.901680946350098,0.01,0.0016146955313161016,0.0022835242561995983,0.5008193850517273,0.4991806447505951,0.42136499285697937,0.578635036945343,0.6930810213088989,0.0016146955313161016,0.0016146955313161016,-1.0,0.0,0.0,189.9485478401184,88,PASS
baseline,internal_fold,8,8,0.7451997924234561,0.6011397577268892,0.6206896551724138,0.6286974571873378,17.0,31.0,nan,0.5018414258956909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,193.50808143615723,88,PASS
control_referenced_soft_multiboundary,internal_fold,8,8,0.7451997924234561,0.6011271543843111,0.6206896551724138,0.6286974571873378,17.0,31.0,0.0,0.5018405318260193,2.0,1.0,24.935462951660156,1.0,156.2093505859375,1.450852870941162,7.549671173095703,0.01,0.0019217431545257568,0.0027177552692592144,0.5017139911651611,0.49828603863716125,0.5222551822662354,0.47774481773376465,0.6930548548698425,0.0019217431545257568,0.0019217431545257568,-1.0,0.0,0.0,193.5080749988556,88,PASS
baseline,internal_fold,8,9,0.7503892060197198,0.5886537237052752,0.5822784810126582,0.6349247535028542,39.0,29.0,nan,0.3619615137577057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,189.28315925598145,88,PASS
control_referenced_soft_multiboundary,internal_fold,8,9,0.7503892060197198,0.5886492011446335,0.5822784810126582,0.6349247535028542,39.0,29.0,0.0,0.3619599938392639,2.0,1.0,22.957260131835938,1.0,147.1396026611328,1.2841532230377197,7.123871326446533,0.01,0.0018026058096438646,0.002549269702285528,0.5015010833740234,0.49849891662597656,0.5103857517242432,0.48961424827575684,0.693077802658081,0.0018026059260591865,0.0018026059260591865,-0.9999999403953552,0.0,0.0,189.28315496444702,88,PASS
