repeat,epoch,is_selected,scope,fingerprint_top1,identity_gap,disease_axis_auc,disease_geometry_gap,split_half_disease_cosine,n_identity_subjects,n_disease_subjects,status
6,30,False,abide2,0.9957555178268251,0.2886425709948711,0.6795608108108109,nan,nan,589,727,PASS
6,40,False,internal_train,nan,nan,nan,0.002912784974761995,0.3373767167329788,0,882,PASS
6,40,False,caltech,nan,nan,0.7192982456140351,nan,nan,0,37,PASS
6,40,False,abide2,0.9957555178268251,0.29078683307132125,0.6803977272727272,nan,nan,589,727,PASS
6,50,False,internal_train,nan,nan,nan,0.0028803808271280207,0.3353676474094391,0,882,PASS
6,50,False,caltech,nan,nan,0.7251461988304094,nan,nan,0,37,PASS
6,50,False,abide2,0.9957555178268251,0.29106180517793656,0.6806971744471745,nan,nan,589,727,PASS
6,44,True,internal_train,nan,nan,nan,0.0028860237739379013,0.33570134326815604,0,882,PASS
6,44,True,caltech,nan,nan,0.7251461988304094,nan,nan,0,37,PASS
6,44,True,abide2,0.9957555178268251,0.2909975654231821,0.6804437960687961,nan,nan,589,727,PASS
7,0,False,internal_train,nan,nan,nan,0.003760682763242651,0.4245843888819218,0,882,PASS
7,0,False,caltech,nan,nan,0.6871345029239767,nan,nan,0,37,PASS
7,0,False,abide2,0.9405772495755518,0.23222592354366411,0.6639665233415233,nan,nan,589,727,PASS
7,1,False,internal_train,nan,nan,nan,0.003930319768672197,0.4231183372437954,0,882,PASS
7,1,False,caltech,nan,nan,0.6783625730994153,nan,nan,0,37,PASS
7,1,False,abide2,0.9439728353140917,0.24091955217577593,0.6640816953316953,nan,nan,589,727,PASS
7,5,False,internal_train,nan,nan,nan,0.003716464473539627,0.39567762821912766,0,882,PASS
7,5,False,caltech,nan,nan,0.6929824561403509,nan,nan,0,37,PASS
7,5,False,abide2,0.9719864176570459,0.26007726369485884,0.6734566953316953,nan,nan,589,727,PASS
7,10,False,internal_train,nan,nan,nan,0.003092635425575252,0.3522499074041843,0,882,PASS
7,10,False,caltech,nan,nan,0.6812865497076024,nan,nan,0,37,PASS
7,10,False,abide2,0.9923599320882852,0.27045862603938514,0.6869011056511056,nan,nan,589,727,PASS
7,20,False,internal_train,nan,nan,nan,0.002844444376416705,0.3299490460753441,0,882,PASS
7,20,False,caltech,nan,nan,0.7076023391812866,nan,nan,0,37,PASS
7,20,False,abide2,0.9966044142614601,0.28152479153809484,0.6888590294840296,nan,nan,589,727,PASS
7,30,False,internal_train,nan,nan,nan,0.002853438899705102,0.33203992903232576,0,882,PASS
7,30,False,caltech,nan,nan,0.7339181286549709,nan,nan,0,37,PASS
7,30,False,abide2,0.9966044142614601,0.285370862916107,0.6868934275184275,nan,nan,589,727,PASS
7,40,False,internal_train,nan,nan,nan,0.00283223419974607,0.3282970368117094,0,882,PASS
7,40,False,caltech,nan,nan,0.7426900584795323,nan,nan,0,37,PASS
7,40,False,abide2,0.9949066213921901,0.28743180174277394,0.686340601965602,nan,nan,589,727,PASS
7,50,False,internal_train,nan,nan,nan,0.002801502161954933,0.3267512517422438,0,882,PASS
7,50,False,caltech,nan,nan,0.7368421052631581,nan,nan,0,37,PASS
7,50,False,abide2,0.9949066213921901,0.2877576148848331,0.686455773955774,nan,nan,589,727,PASS
7,39,True,internal_train,nan,nan,nan,0.0028160800691292565,0.3275564341247082,0,882,PASS
7,39,True,caltech,nan,nan,0.7426900584795323,nan,nan,0,37,PASS
7,39,True,abide2,0.9957555178268251,0.28728104272333405,0.6867398648648649,nan,nan,589,727,PASS
8,0,False,internal_train,nan,nan,nan,0.0040157789406388145,0.41901328921318054,0,882,PASS
8,0,False,caltech,nan,nan,0.6783625730994152,nan,nan,0,37,PASS
8,0,False,abide2,0.9601018675721562,0.26164328432988226,0.65879914004914,nan,nan,589,727,PASS
8,1,False,internal_train,nan,nan,nan,0.003995328385538899,0.41734343603253365,0,882,PASS
8,1,False,caltech,nan,nan,0.6754385964912281,nan,nan,0,37,PASS
8,1,False,abide2,0.9634974533106961,0.26267224553547264,0.6594210687960688,nan,nan,589,727,PASS
8,5,False,internal_train,nan,nan,nan,0.003624056045146873,0.3915467482805252,0,882,PASS
8,5,False,caltech,nan,nan,0.6783625730994151,nan,nan,0,37,PASS
8,5,False,abide2,0.9821731748726655,0.27284414196834095,0.6671836609336609,nan,nan,589,727,PASS
8,10,False,internal_train,nan,nan,nan,0.0031123588923481493,0.3562581579387188,0,882,PASS
8,10,False,caltech,nan,nan,0.6812865497076025,nan,nan,0,37,PASS
8,10,False,abide2,0.9949066213921901,0.2835551003571175,0.6781710687960688,nan,nan,589,727,PASS
8,20,False,internal_train,nan,nan,nan,0.00287009687777362,0.33566136583685874,0,882,PASS
8,20,False,caltech,nan,nan,0.7426900584795323,nan,nan,0,37,PASS
8,20,False,abide2,0.9957555178268251,0.290217479753626,0.6859029484029484,nan,nan,589,727,PASS
8,30,False,internal_train,nan,nan,nan,0.0028148044815251017,0.3294762073457241,0,882,PASS
8,30,False,caltech,nan,nan,0.7514619883040937,nan,nan,0,37,PASS
8,30,False,abide2,0.9966044142614601,0.29206987127803896,0.6877073095823096,nan,nan,589,727,PASS
8,40,False,internal_train,nan,nan,nan,0.002675108707706597,0.3204832127690315,0,882,PASS
8,40,False,caltech,nan,nan,0.7631578947368421,nan,nan,0,37,PASS
8,40,False,abide2,0.9957555178268251,0.29278285652966785,0.6849124692874693,nan,nan,589,727,PASS
8,50,False,internal_train,nan,nan,nan,0.0026647705173458436,0.3189710532128811,0,882,PASS
8,50,False,caltech,nan,nan,0.7690058479532164,nan,nan,0,37,PASS
8,50,False,abide2,0.9966044142614601,0.2929539948424811,0.685357800982801,nan,nan,589,727,PASS
8,23,True,internal_train,nan,nan,nan,0.0027589761154878933,0.32780457466840746,0,882,PASS
8,23,True,caltech,nan,nan,0.7339181286549709,nan,nan,0,37,PASS
8,23,True,abide2,0.9966044142614601,0.29097077379482594,0.6850890663390663,nan,nan,589,727,PASS
9,0,False,internal_train,nan,nan,nan,0.003908146154340764,0.41413548588752747,0,882,PASS
9,0,False,caltech,nan,nan,0.6871345029239765,nan,nan,0,37,PASS
9,0,False,abide2,0.9371816638370118,0.24305296585296127,0.6626151719901721,nan,nan,589,727,PASS
9,1,False,internal_train,nan,nan,nan,0.003961278371719945,0.4123684091866016,0,882,PASS
9,1,False,caltech,nan,nan,0.6842105263157895,nan,nan,0,37,PASS
9,1,False,abide2,0.9414261460101867,0.24692584834219067,0.6632601351351353,nan,nan,589,727,PASS
9,5,False,internal_train,nan,nan,nan,0.003651964623378967,0.3832682226598263,0,882,PASS
9,5,False,caltech,nan,nan,0.7076023391812866,nan,nan,0,37,PASS
9,5,False,abide2,0.9711375212224109,0.2605190395476713,0.6718903562653562,nan,nan,589,727,PASS
9,10,False,internal_train,nan,nan,nan,0.003103339663360044,0.3448024035990238,0,882,PASS
9,10,False,caltech,nan,nan,0.6783625730994153,nan,nan,0,37,PASS
9,10,False,abide2,0.9923599320882852,0.27059713358272786,0.6804207616707616,nan,nan,589,727,PASS
9,20,False,internal_train,nan,nan,nan,0.002882019308380529,0.3275827232003212,0,882,PASS
9,20,False,caltech,nan,nan,0.7309941520467836,nan,nan,0,37,PASS
9,20,False,abide2,0.9957555178268251,0.28069267652733765,0.6881756756756756,nan,nan,589,727,PASS
9,30,False,internal_train,nan,nan,nan,0.0028221793138627216,0.3238020341098309,0,882,PASS
9,30,False,caltech,nan,nan,0.7397660818713452,nan,nan,0,37,PASS
9,30,False,abide2,0.9957555178268251,0.28542767909749645,0.6858645577395578,nan,nan,589,727,PASS
9,40,False,internal_train,nan,nan,nan,0.002787574303673185,0.32201291389763353,0,882,PASS
9,40,False,caltech,nan,nan,0.7543859649122807,nan,nan,0,37,PASS
9,40,False,abide2,0.9966044142614601,0.28726717347232333,0.687269656019656,nan,nan,589,727,PASS
9,50,False,internal_train,nan,nan,nan,0.002780089813428671,0.3220190516859293,0,882,PASS
9,50,False,caltech,nan,nan,0.7543859649122807,nan,nan,0,37,PASS
9,50,False,abide2,0.9966044142614601,0.28765291659378356,0.6877457002457001,nan,nan,589,727,PASS
9,2,True,internal_train,nan,nan,nan,0.003980292681683262,0.40839462742209437,0,882,PASS
9,2,True,caltech,nan,nan,0.6871345029239767,nan,nan,0,37,PASS
9,2,True,abide2,0.9422750424448217,0.25162172561368923,0.6645116707616707,nan,nan,589,727,PASS
