method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,dynamic_dim,window_tokens,min_valid_tokens,mean_valid_tokens,min_windows,mean_windows,max_windows,mean_node_switch,mean_node_deviation,n_test,status
stable_dynamic_residual,internal_fold,3,9,0.6434872859366891,0.6703148793904827,0.5934065934065934,0.5799169693824597,11.0,32.0,8.0,0.4683244824409485,774.0,15.0,93.53866666666667,121.04800020345053,5.658666666666667,7.360000012715657,9.488,0.375193119208018,0.26096045517921446,88,PASS
baseline,internal_oof,3,all,0.7395732824230541,0.5983437317280845,0.6681614349775785,0.6660457676530533,32.3,42.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
stable_dynamic_residual,internal_oof,3,all,0.7355486184566962,0.60224681309201,0.6606129398410897,0.6633703980805449,26.0,40.6,34.4,nan,774.0,15.0,93.53866666666667,121.5588001139323,5.658666666666667,7.394800009791055,9.488,0.36082997353076934,0.24900793515046443,882,PASS
baseline,caltech,3,external,0.6228070175438596,0.6755441650144289,0.5714285714285715,0.5102339181286549,8.0,61.0,nan,0.5580559372901917,nan,nan,nan,nan,nan,nan,nan,nan,nan,37,PASS
baseline,abide2,3,external,0.7402124267328029,0.5972539821389442,0.740990990990991,0.6659323900703211,8.0,61.0,nan,0.5580559372901917,nan,nan,nan,nan,nan,nan,nan,nan,nan,726,PASS
stable_dynamic_residual,caltech,3,external,0.5760233918128654,0.7016121640177101,0.5945945945945946,0.5950292397660819,25.0,70.0,43.0,0.5262219309806824,774.0,15.0,94.28653624856156,122.46375155256862,5.7054085155350975,7.451093227597183,9.558112773302646,0.35747956677465365,0.2460137149887063,37,PASS
stable_dynamic_residual,abide2,3,external,0.7425384917547927,0.5989924844524566,0.7335722819593787,0.6843599084978396,25.0,70.0,43.0,0.5262219309806824,774.0,15.0,94.28653624856156,122.46375155256862,5.7054085155350975,7.451093227597183,9.558112773302646,0.35747956677465365,0.2460137149887063,726,PASS
baseline,internal_fold,4,0,0.6904761904761905,0.6410328769131185,0.5853658536585366,0.6243667679837892,41.0,48.0,nan,0.35334235429763794,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,4,0,0.6894630192502532,0.6404210104116563,0.5853658536585366,0.6243667679837892,41.0,48.0,4.0,0.35299623012542725,774.0,15.0,93.53866666666667,121.69333341471354,5.658666666666667,7.405333351135254,9.488,0.35464885902404786,0.24356369451681772,89,PASS
baseline,internal_fold,4,1,0.7107396149949342,0.61924806797645,0.575,0.6256332320162107,37.0,48.0,nan,0.34223291277885437,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,4,1,0.7163120567375887,0.6198664264657409,0.5822784810126582,0.6375379939209727,37.0,48.0,78.0,0.3278452157974243,774.0,15.0,93.53866666666667,121.70133325195313,5.658666666666667,7.405333337148031,9.488,0.3517028824488322,0.2412255560954412,89,PASS
baseline,internal_fold,4,2,0.7261904761904763,0.6001735873306315,0.6956521739130435,0.681159420289855,46.0,48.0,nan,0.45306888222694397,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,4,2,0.7339544513457557,0.6004962562456313,0.6947368421052631,0.6682194616977226,46.0,48.0,36.0,0.46858271956443787,774.0,15.0,93.53866666666667,121.51200034586589,5.658666666666667,7.390666685740153,9.488,0.36733767890930175,0.2551139481862386,88,PASS
baseline,internal_fold,4,3,0.7386128364389234,0.617339841114542,0.7272727272727273,0.6889233954451346,45.0,28.0,nan,0.4763961434364319,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,4,3,0.7370600414078674,0.6163898071416972,0.7346938775510203,0.7008281573498965,45.0,28.0,8.0,0.47277382016181946,774.0,15.0,93.53866666666667,121.54266687011719,5.658666666666667,7.396000019073487,9.488,0.3934809756278992,0.27601659003893536,88,PASS
baseline,internal_fold,4,4,0.75,0.6076162471027815,0.5753424657534246,0.6568322981366459,43.0,29.0,nan,0.385620653629303,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,4,4,0.7484472049689441,0.607669559877116,0.6585365853658538,0.6863354037267081,43.0,29.0,2.0,0.44440481066703796,774.0,15.0,93.53866666666667,121.47066701253256,5.658666666666667,7.388000011444092,9.488,0.3654951837857564,0.2529305198192596,88,PASS
