method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,threshold_hc,mean_identity_loss,mean_prototype_loss,prototype_active,mean_min_prototype_occupancy,mean_max_prototype_occupancy,n_test,status
baseline,internal_fold,5,2,0.8022774327122153,0.532231173922976,0.6582278481012658,0.6992753623188406,27.0,0.4015563726425171,0.10594701638445259,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,5,2,0.8209109730848861,0.5170711340500322,0.7391304347826085,0.7267080745341614,27.0,0.48449626564979553,0.12625814854788284,1.0147185201446216,6.0,8.4325,12.5,88,PASS
baseline,internal_fold,5,3,0.7448240165631469,0.5938972889099611,0.7843137254901961,0.7443064182194616,18.0,0.5280972123146057,0.04972101223965486,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,5,3,0.7116977225672878,0.6261441071793101,0.7157894736842104,0.6909937888198758,18.0,0.5005238652229309,0.07998994067932169,1.0022198526064554,6.0,8.28,12.495,88,PASS
baseline,internal_fold,5,4,0.7153209109730849,0.6033739152113822,0.5194805194805194,0.5864389233954451,30.0,0.33977046608924866,0.0528425760474056,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,5,4,0.7101449275362318,0.6202529469811086,0.7037037037037037,0.6273291925465838,12.0,0.526893675327301,0.08739939085207879,0.9189496128757795,6.0,8.329166666666667,12.520833333333334,88,PASS
baseline,internal_fold,5,5,0.6611312921639856,0.6530193248396,0.5066666666666666,0.5923715620134925,21.0,0.38977858424186707,0.058969689706961315,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,5,5,0.663207057602491,0.6564069103831532,0.6292134831460674,0.6271406331084588,12.0,0.47560930252075195,0.08959135174440841,0.8857159624497096,6.0,8.465,12.288333333333334,88,PASS
baseline,internal_fold,5,6,0.7031655422937209,0.6191460122123471,0.6739130434782609,0.6590555267254801,25.0,0.4642418622970581,0.05124954821619516,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,5,6,0.6896730669434353,0.6217976310817181,0.673469387755102,0.6315516346652829,5.0,0.47892069816589355,0.07836964671189586,0.9072063354651133,6.0,8.318333333333333,12.470833333333333,88,PASS
